Topic,Question,TopicID
Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause",0
Cognitive Health and Caregiving,Provided care for a friend or family member in the past month among adults,1
"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults,2
Social Determinants of Health,Food insecure in the past 12 months among households,3
Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older,4
Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,5
Arthritis,Severe joint pain among adults with arthritis,6
Cardiovascular Disease,High cholesterol among adults who have been screened,7
Immunization,Pneumococcal vaccination among adults aged 65 years and older,8
Disability,Adults with any disability,9
Cognitive Health and Caregiving,Provided care for someone with dementia or other cognitive impairment in the past month among adults,10
Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",11
Maternal Health,Postpartum checkup among women with a recent live birth,12
Sleep,Short sleep duration among high school students,13
"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among high school students,14
Social Determinants of Health,Lack of reliable transportation in the past 12 months among adults,15
Oral Health,Visited dentist or other oral health care provider in the past 12 months among children and adolescents aged 1-17 years,16
Social Determinants of Health,Routine checkup within the past year among adults,17
Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older",18
Alcohol,Binge drinking prevalence among adults,19
Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",20
Tobacco,Current electronic vapor product use among high school students,21
Arthritis,Physical inactivity among adults with arthritis,22
Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,23
Oral Health,No teeth lost among adults aged 18-64 years,24
Social Determinants of Health,High school completion among adults aged 18-24,25
Tobacco,Current smokeless tobacco use among high school students,26
Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,27
Chronic Kidney Disease,Incidence of treated end-stage kidney disease,28
Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older",29
"Nutrition, Physical Activity, and Weight Status","Met aerobic physical activity guideline for substantial health benefits, adults",30
"Nutrition, Physical Activity, and Weight Status",Met aerobic physical activity guideline among high school students,31
Oral Health,Visited dentist or dental clinic in the past year among adults,32
Alcohol,Binge drinking intensity among adults who binge drink,33
Health Status,Life expectancy at birth,34
Mental Health,Average mentally unhealthy days among adults,35
Alcohol,Per capita alcohol consumption among people aged 14 years and older,36
"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,37
Cancer,"Cervical cancer mortality among all females, underlying cause",38
Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",39
Social Determinants of Health,Unemployment rate among people 16 years and older in the labor force,40
Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",41
Diabetes,Gestational diabetes among women with a recent live birth,42
Social Determinants of Health,Living below 150% of the poverty threshold among all people,43
Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,44
Cancer,Mammography use among women aged 50-74 years,45
Oral Health,Six or more teeth lost among adults aged 65 years and older,46
"Nutrition, Physical Activity, and Weight Status",Obesity among adults,47
Cognitive Health and Caregiving,Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline,48
"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,49
Tobacco,Current tobacco use of any tobacco product among high school students,50
Diabetes,Diabetes among adults,51
Alcohol,Alcohol use among high school students,52
Tobacco,Current cigarette smoking among adults,53
Cancer,"Breast cancer mortality among all females, underlying cause",54
Health Status,Frequent physical distress among adults,55
Cardiovascular Disease,High blood pressure among adults,56
Arthritis,Received health care provider counseling for physical activity among adults with arthritis,57
