Topic,Question
Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause"
Cognitive Health and Caregiving,Provided care for a friend or family member in the past month among adults
"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults
Social Determinants of Health,Food insecure in the past 12 months among households
Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older
Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure
Arthritis,Severe joint pain among adults with arthritis
Cardiovascular Disease,High cholesterol among adults who have been screened
Immunization,Pneumococcal vaccination among adults aged 65 years and older
Disability,Adults with any disability
Cognitive Health and Caregiving,Provided care for someone with dementia or other cognitive impairment in the past month among adults
Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause"
Maternal Health,Postpartum checkup among women with a recent live birth
Sleep,Short sleep duration among high school students
"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among high school students
Social Determinants of Health,Lack of reliable transportation in the past 12 months among adults
Oral Health,Visited dentist or other oral health care provider in the past 12 months among children and adolescents aged 1-17 years
Social Determinants of Health,Routine checkup within the past year among adults
Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older"
Alcohol,Binge drinking prevalence among adults
Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause"
Tobacco,Current electronic vapor product use among high school students
Arthritis,Physical inactivity among adults with arthritis
Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk
Oral Health,No teeth lost among adults aged 18-64 years
Social Determinants of Health,High school completion among adults aged 18-24
Tobacco,Current smokeless tobacco use among high school students
Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis
Chronic Kidney Disease,Incidence of treated end-stage kidney disease
Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older"
"Nutrition, Physical Activity, and Weight Status","Met aerobic physical activity guideline for substantial health benefits, adults"
